Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Observed and expected mortality with any mention of diabetes,01/11/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],93.07,[x],[x],
Observed and expected mortality with any mention of diabetes,01/12/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],80.86,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],104.34,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],97.3,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],92.27,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],89.35,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],85.57,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],81.3,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],74.65,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2023,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],78.94,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2002,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2002,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2003,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2003,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2004,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2004,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2005,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2005,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2006,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2006,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2007,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2007,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2008,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2008,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2009,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2009,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2010,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2010,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2011,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2011,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2012,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2012,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2013,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2013,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2014,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2014,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2015,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2015,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2016,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2016,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2017,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2017,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2018,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2018,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2019,"EASR per 100,000",Wales,Persons,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2019,"EASR per 100,000",Wales,Persons,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2020,"EASR per 100,000",Wales,Persons,Least deprived,15.13115879,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2020,"EASR per 100,000",Wales,Persons,Most deprived,42.84288616,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2021,"EASR per 100,000",Wales,Persons,Least deprived,10.79843118,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2021,"EASR per 100,000",Wales,Persons,Most deprived,33.61877974,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2022,"EASR per 100,000",Wales,Persons,Least deprived,3.118351357,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2022,"EASR per 100,000",Wales,Persons,Most deprived,6.640844825,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2002,"EASR per 100,000",Wales,Persons,Least deprived,47.83096216,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2002,"EASR per 100,000",Wales,Persons,Most deprived,84.25291231,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2003,"EASR per 100,000",Wales,Persons,Least deprived,54.82857751,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2003,"EASR per 100,000",Wales,Persons,Most deprived,90.14376255,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2004,"EASR per 100,000",Wales,Persons,Least deprived,47.90036715,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2004,"EASR per 100,000",Wales,Persons,Most deprived,93.95020207,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2005,"EASR per 100,000",Wales,Persons,Least deprived,47.59031687,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2005,"EASR per 100,000",Wales,Persons,Most deprived,92.26192475,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2006,"EASR per 100,000",Wales,Persons,Least deprived,51.99722658,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2006,"EASR per 100,000",Wales,Persons,Most deprived,95.03343555,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2007,"EASR per 100,000",Wales,Persons,Least deprived,45.95150341,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2007,"EASR per 100,000",Wales,Persons,Most deprived,95.9407492,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2008,"EASR per 100,000",Wales,Persons,Least deprived,54.00169599,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2008,"EASR per 100,000",Wales,Persons,Most deprived,97.18610359,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2009,"EASR per 100,000",Wales,Persons,Least deprived,51.0497523,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2009,"EASR per 100,000",Wales,Persons,Most deprived,97.34818568,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2010,"EASR per 100,000",Wales,Persons,Least deprived,51.71481329,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2010,"EASR per 100,000",Wales,Persons,Most deprived,93.01210157,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2011,"EASR per 100,000",Wales,Persons,Least deprived,52.48240281,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2011,"EASR per 100,000",Wales,Persons,Most deprived,93.80688577,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2012,"EASR per 100,000",Wales,Persons,Least deprived,45.63999555,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2012,"EASR per 100,000",Wales,Persons,Most deprived,97.6330784,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2013,"EASR per 100,000",Wales,Persons,Least deprived,49.38870579,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2013,"EASR per 100,000",Wales,Persons,Most deprived,97.98332614,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2014,"EASR per 100,000",Wales,Persons,Least deprived,46.49096292,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2014,"EASR per 100,000",Wales,Persons,Most deprived,106.1770916,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2015,"EASR per 100,000",Wales,Persons,Least deprived,47.58969711,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2015,"EASR per 100,000",Wales,Persons,Most deprived,115.5035741,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2016,"EASR per 100,000",Wales,Persons,Least deprived,52.50105715,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2016,"EASR per 100,000",Wales,Persons,Most deprived,108.0950087,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2017,"EASR per 100,000",Wales,Persons,Least deprived,52.55423365,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2017,"EASR per 100,000",Wales,Persons,Most deprived,116.0063307,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2018,"EASR per 100,000",Wales,Persons,Least deprived,59.82788632,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2018,"EASR per 100,000",Wales,Persons,Most deprived,117.1686607,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2019,"EASR per 100,000",Wales,Persons,Least deprived,53.6783383,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2019,"EASR per 100,000",Wales,Persons,Most deprived,130.262016,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2020,"EASR per 100,000",Wales,Persons,Least deprived,62.81363254,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2020,"EASR per 100,000",Wales,Persons,Most deprived,127.9767363,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2021,"EASR per 100,000",Wales,Persons,Least deprived,59.43542302,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2021,"EASR per 100,000",Wales,Persons,Most deprived,135.7326684,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2022,"EASR per 100,000",Wales,Persons,Least deprived,59.65995943,[x],[x],
Deaths with any mention of diabetes by deprivation (non-covid deaths),2022,"EASR per 100,000",Wales,Persons,Most deprived,143.2345005,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2002,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2002,"EASR per 100,000",Wales,Persons under 75,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2003,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2003,"EASR per 100,000",Wales,Persons under 75,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2004,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2004,"EASR per 100,000",Wales,Persons under 75,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2005,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2005,"EASR per 100,000",Wales,Persons under 75,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2006,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2006,"EASR per 100,000",Wales,Persons under 75,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2007,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2007,"EASR per 100,000",Wales,Persons under 75,Most deprived,0,[x],[x],
Deaths with any mention of diabetes by deprivation (covid deaths),2008,"EASR per 100,000",Wales,Persons under 75,Least deprived,0,[x],[x],
